"lang";"id";"translation"
en_US;poard_board;"Board"
en_US;poard_overview;"Overview"
en_US;poard_statistics;"Statistics"
en_US;poard_recent_articles;"Recent articles"
en_US;poard_vote;"Vote"
en_US;poard_vote_abstain;"abstain"
en_US;poard_approve;"Approve"
en_US;poard_approved_by;"approved by"
en_US;poard_not_approved;"not yet approved"
en_US;poard_answer;"reply"
en_US;poard_with_quote;"with quote"
en_US;poard_articles;"article";"articles"
en_US;poard_fix_thread;"Fix Thread";""
en_US;poard_unfix_thread;"Unfix Thread";""
en_US;poard_open_thread;"Open Thread";""
en_US;poard_close_thread;"Close Thread";""
en_US;poard_thread;"Thread";"Threads"
en_US;poard_answer_post;"Reply";"Replies"
en_US;poard_last_answer;"Last Reply"
en_US;poard_last_24_hours;"Last 24h"
en_US;poard_7_days;"7 days"
en_US;poard_my_subscriptions;"Subscribed Threads"
en_US;poard_hint_new_answers;"Note: New articles since you started replying"
en_US;poard_msg_not_approved_yet;"Not approved yet"
en_US;poard_msg_deleted;"deleted"
en_US;poard_create_new_thread;"Create new thread"
en_US;poard_create_new_survey;"Create new survey"
en_US;poard_insert_quote;"Insert quote"
en_US;poard_subtree;"Subtree";"Subtrees"
en_US;poard_mark_thread_solved;"Mark thread as solved"
en_US;poard_mark_thread_unsolved;"Mark thread as not solved"
en_US;poard_edited_by;"Edited by"
en_US;poard_move_from_to;"Moved from [board]%1:s[/board] to [board]MOVE_TO[/board]"
en_US;poard_thread_readers;"Reader";"Readers"
en_US;poard_thread_readers_expl;"How many registered users have read this thread"
en_US;poard_hint_overview;"Below you find an overview of all boards. You might also check the list of recent threads:"
en_US;poard_similar_threads;"Similar Threads"
en_US;poard_markup_help;"Markup help"
en_US;poard_solved;solved
en_US;poard_my_articles;"My Articles"
en_US;poard_threadlist_author_when;"Author / When"
en_US;poard_threadlist_lastaction;"Last action"
en_US;poard_threadlist_last_post;"Last post"
en_US;poard_hint_correct_bbcode;"Correct BBCode"
en_US;poard_hint_correct_bbcode_explain;"Try to correct bbcode in the article, for example forgotten closing tags"
en_US;poard_hint_correct_urls;"Correct URLs"
en_US;poard_hint_correct_urls_explain;"Change internal URLs to the corresponding portable link via bbcode tags"
en_US;poard_attachment;Attachment;Attachments
en_US;poard_post_hint;"Please first read: <a href=""http://example.org/"">Hints</a>"
